FECHA,	CASOS,	CURADOS,	FALLECIDOS,	ACTIVOS
2020-02-26,	81289,	30359,	2770,	48160
2020-02-27,	82588,	33316,	2814,	46458
2020-02-28,	83907,	36872,	2869,	44166
2020-03-01,	88282,	42728,	3000,	42554
2020-03-02,	90302,	45705,	3087,	41510
2020-03-03,	92290,	48455,	3130,	40705
2020-03-04,	94380,	51317,	3221,	39842
2020-03-05,	96743,	53959,	3308,	39476
2020-03-06,	100379,	55991,	3408,	40980
2020-03-07,	106065, 60174,	3598,	42293
2020-03-08,	110071,	62280,	3830,	43961
2020-03-09,	111753,	62722,	3888,	45143
2020-03-10,	116361,	64647,	4091,	47623
2020-03-11,	121756,	66988,	4389,	50379
2020-03-12,	128973,	68654,	4729,	55590
2020-03-12,134492,4970,68915,
2020-03-12,134492,4970,68915,
